data;links
03/03/2020;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9381&numLegislatura=56&codCasa=4&numSessaoLegislativa=2&indTipoSessaoLegislativa=O&numSessao=3&indTipoSessao=E&tipo=uf
03/03/2020;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9382&numLegislatura=56&codCasa=4&numSessaoLegislativa=2&indTipoSessaoLegislativa=O&numSessao=3&indTipoSessao=E&tipo=uf
03/03/2020;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9383&numLegislatura=56&codCasa=4&numSessaoLegislativa=2&indTipoSessaoLegislativa=O&numSessao=3&indTipoSessao=E&tipo=uf
10/03/2020;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9387&numLegislatura=56&codCasa=4&numSessaoLegislativa=2&indTipoSessaoLegislativa=O&numSessao=4&indTipoSessao=O&tipo=uf
10/03/2020;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9388&numLegislatura=56&codCasa=4&numSessaoLegislativa=2&indTipoSessaoLegislativa=O&numSessao=4&indTipoSessao=O&tipo=uf
01/02/2021;https://www.camara.leg.br/internet/votacao/eleicao2021/Escrutinio_1_Presidencia.pdf
03/02/2021;https://www.camara.leg.br/internet/votacao/eleicao2021/Eleicao_da_Mesa_Diretora_Demais_Cargos_Primeiro_escrutinio.pdf
03/02/2021;https://www.camara.leg.br/internet/votacao/eleicao2021/Eleicao_da_Mesa_Diretora_Demais_Cargos_Segundo_escrutinio.pdf
23/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9395&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=26&indTipoSessao=E&tipo=uf
23/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9398&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=26&indTipoSessao=E&tipo=uf
23/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9399&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=26&indTipoSessao=E&tipo=uf
23/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9400&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=26&indTipoSessao=E&tipo=uf
25/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9408&numLegislatura=56&codCasa=4&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=6&indTipoSessao=E&tipo=uf
25/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9410&numLegislatura=56&codCasa=4&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=6&indTipoSessao=E&tipo=uf
25/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9411&numLegislatura=56&codCasa=4&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=6&indTipoSessao=E&tipo=uf
31/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9431&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=30&indTipoSessao=E&tipo=uf
31/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9432&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=30&indTipoSessao=E&tipo=uf
31/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9433&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=30&indTipoSessao=E&tipo=uf
31/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9424&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=29&indTipoSessao=E&tipo=uf
31/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9425&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=29&indTipoSessao=E&tipo=uf
31/03/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9429&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=29&indTipoSessao=E&tipo=uf
06/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9440&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=32&indTipoSessao=E&tipo=uf
06/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9441&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=32&indTipoSessao=E&tipo=uf
06/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9442&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=32&indTipoSessao=E&tipo=uf
06/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9444&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=32&indTipoSessao=E&tipo=uf
06/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9445&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=32&indTipoSessao=E&tipo=uf
06/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9446&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=32&indTipoSessao=E&tipo=uf
06/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9448&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=32&indTipoSessao=E&tipo=uf
06/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9436&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=31&indTipoSessao=E&tipo=uf
06/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9437&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=31&indTipoSessao=E&tipo=uf
06/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9438&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=31&indTipoSessao=E&tipo=uf
06/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9439&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=31&indTipoSessao=E&tipo=uf
07/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9449&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=33&indTipoSessao=E&tipo=uf
07/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9450&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=33&indTipoSessao=E&tipo=uf
07/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9451&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=33&indTipoSessao=E&tipo=uf
07/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9452&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=33&indTipoSessao=E&tipo=uf
07/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9456&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=33&indTipoSessao=E&tipo=uf
13/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9458&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=35&indTipoSessao=E&tipo=uf
13/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9459&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=35&indTipoSessao=E&tipo=uf
19/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9470&numLegislatura=56&codCasa=4&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=8&indTipoSessao=E&tipo=uf
19/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9471&numLegislatura=56&codCasa=4&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=8&indTipoSessao=E&tipo=uf
19/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9472&numLegislatura=56&codCasa=4&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=8&indTipoSessao=E&tipo=uf
19/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9473&numLegislatura=56&codCasa=4&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=8&indTipoSessao=E&tipo=uf
20/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9483&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=38&indTipoSessao=E&tipo=uf
